filename,NAME,DESCRIPTION,BACKGROUND,SKIN,CLUB,CLOTHES,EYES,HEADWEAR
24,24,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,pink,Type B,4,blue jacket,tech B,lean
25,25,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,autumn,Type A,3,long sleeve polo,tech B,snapback
26,26,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,green,Type E,4,blue jacket,tech A,spiky hair
27,27,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,pink,Type C,2,long sleeve polo,tech C,snapback
28,28,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,mint,Type E,1,clothes_lean,tech A,beanie
29,29,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,orange,Type D,4,blue jacket,tech B,bucket
30,30,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,pink,Type E,5,long sleeve polo,tech C,sport visor
31,31,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,winter,Type D,1,blue jacket,tech A,beanie
32,32,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,autumn,Type E,1,long sleeve polo,tech A,spiky hair
33,33,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,green,Type B,4,long sleeve polo,high tech,snapback
34,34,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,green,Type C,1,tech suit,tech C,beanie
35,35,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,winter,Type C,2,og,og circle,sport visor
36,36,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,autumn,Type A,4,long sleeve polo,tech B,snapback
37,37,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,mint,Type E,3,og,tech A,spiky hair
38,38,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,orange,Type D,5,tech suit,tech B,spiky hair
39,39,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,violet,Type A,5,tech suit,eyes,sport visor
40,40,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,orange,Type B,1,long sleeve polo,tech C,beanie
41,41,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,orange,Type B,2,long sleeve polo,eyes,sport visor
42,42,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,green,Type D,1,long sleeve polo,tech C,spiky hair
43,43,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,green,Type C,5,long sleeve polo,tech B,beanie
44,44,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,pink,Type B,5,tech suit,tech B,bucket
45,45,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,autumn,Type E,5,long sleeve polo,eyes,bucket
46,46,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,green,Type A,2,clothes_lean,eyes,sport visor
47,47,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,spring,Type B,3,long sleeve polo,tech A,spiky hair
48,48,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,orange,Type C,3,tech suit,eyes,bucket
49,49,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,summer,Type C,3,blue line jacket,tech A,snapback
50,50,Coffee painting is a unique art form that involves using coffee as a medium to create images and designs.,pink,Type A,3,long sleeve polo,tech B,beanie
